Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym
N,E,Abies balsamea,balsam fir,,Abies balsamea
I,H,Abutilon theophrasti,velvet leaf,,Abutilon theophrasti
N,H,Acalypha rhomboidea,three-seeded mercury,,Acalypha rhomboidea
I,D,Acer ginnala,amur maple,,Acer ginnala
N,D,Acer negundo,box elder,,Acer negundo
N,D,Acer negundo var. negundo,box elder,,Acer negundo var. negundo
N,D,Acer negundo var. texanum,inland box elder,,Acer negundo var. interius
N,D,Acer nigrum,black maple,,Acer nigrum
I,D,Acer platanoides,Norway maple,,Acer platanoides
N,D,Acer rubrum var. rubrum,red maple,,Acer rubrum
N,D,Acer saccharinum,silver maple,,Acer saccharinum
N,D,Acer saccharum,sugar maple,,Acer saccharum
N,D,Acer spicatum,mountain maple,,Acer spicatum
N,H,Achillea alpina,Siberian yarrow,,Achillea sibirica
N,H,Achillea millefolium,common yarrow,,"Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium"
I,H,Achillea ptarmica,pearly yarrow,,Achillea ptarmica
N,G,Achnatherum hymenoides,Indian rice grass,,Oryzopsis hymenoides
N,H,Acmispon americanus var. americanus,prairie trefoil,,Lotus purshianus
N,H,Acorus americanus,sweet flag,,Acorus calamus
N,H,Actaea pachypoda,white baneberry,,Actaea alba
N,H,Actaea rubra,red baneberry,,Actaea rubra
N,H,Adiantum pedatum,northern maidenhair,,Adiantum pedatum
N,H,Adlumia fungosa,Allegheny vine,,Adlumia fungosa
N,H,Adoxa moschatellina,moschatel,,Adoxa moschatellina
I,H,Aegopodium podagraria,goutweed,,Aegopodium podagraria
I,D,Aesculus glabra var. glabra,Ohio buckeye,,Aesculus glabra
I,H,Aethusa cynapium,fool's-parsley,,Aethusa cynapium
N,H,Agalinis aspera,rough false foxglove,,Agalinis aspera
N,H,Agalinis auriculata,eared false foxglove,,Agalinis auriculata
N,H,Agalinis gattingeri,round-stemmed false foxglove,,Agalinis gattingeri
N,H,Agalinis purpurea,purple false foxglove,,Agalinis purpurea s.l.
N,H,Agalinis purpurea var. parviflora,purple false foxglove,,Agalinis purpurea var. parviflora
