"native","physiognomy","synonymGC","commonName","nameDNR"
"N","H","Achillea sibirica","Siberian yarrow","Achillea alpina"
"N","H","Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium","common yarrow","Achillea millefolium"
"I","H","Achillea ptarmica","pearly yarrow","Achillea ptarmica"
"N","H","Eupatorium rugosum var. rugosum","white snakeroot","Ageratina altissima var. altissima"
"I","H","Ambrosia acanthicarpa","annual bursage","Ambrosia acanthicarpa"
"N","H","Ambrosia artemisiifolia","common ragweed","Ambrosia artemisiifolia"
"N","H","Ambrosia psilostachya","western ragweed","Ambrosia psilostachya"
"N","H","Ambrosia trifida, Ambrosia trifida var. trifida","great ragweed","Ambrosia trifida"
"N","H","Anaphalis margaritacea","pearly everlasting","Anaphalis margaritacea"
"N","H","Antennaria neglecta s.l.","Howell's pussytoes","Antennaria howellii"
"N","H","Antennaria neglecta var. canadensis","Howell's pussytoes","Antennaria howellii subsp. canadensis"
"N","H","Antennaria neglecta var. neodioica","Howell's pussytoes","Antennaria howellii subsp. neodioica"
"N","H","Antennaria neglecta var. petaloidea","Howell's pussytoes","Antennaria howellii subsp. petaloidea"
"N","H","Antennaria microphylla","tiny-leaved pussytoes","Antennaria microphylla"
"N","H","Antennaria neglecta s.l., Antennaria neglecta var. neglecta","field pussytoes","Antennaria neglecta"
"N","H","Antennaria plantaginifolia s.l.","Parlin's pussytoes","Antennaria parlinii"
"N","H","Antennaria plantaginifolia var. ambigens","Parlin's pussytoes","Antennaria parlinii subsp. fallax"
"N","H","Antennaria plantaginifolia var. parlinii","Parlin's pussytoes","Antennaria parlinii subsp. parlinii"
"N","H","Antennaria parvifolia","small-leaved pussytoes","Antennaria parvifolia"
"N","H","Antennaria plantaginifolia s.l., Antennaria plantaginifolia var. plantaginifolia","plantain-leaved pussytoes","Antennaria plantaginifolia"
"I","H","Anthemis cotula","dog fennel","Anthemis cotula"
"I","H","Arctium lappa","great burdock","Arctium lappa"
"I","H","Arctium minus","common burdock","Arctium minus"
