"native","family","genus","familyId","genusId","physiognomy","synonymGC","commonName","nameDNR","speciesId"
"N","Pinaceae","Abies",88,2001,"E","Abies balsamea","balsam fir","Abies balsamea",1001
"I","Malvaceae","Abutilon",2,590,"H","Abutilon theophrasti","velvet leaf","Abutilon theophrasti",1002
"N","Euphorbiaceae","Acalypha",3,318,"H","Acalypha rhomboidea","three-seeded mercury","Acalypha rhomboidea",1003
"I","Aceraceae","Acer",4,55,"D","Acer ginnala","amur maple","Acer ginnala",1004
"N","Aceraceae","Acer",4,55,"D","Acer negundo var. negundo","box elder","Acer negundo var. negundo",1005
"N","Aceraceae","Acer",4,55,"D","Acer negundo var. interius","inland box elder","Acer negundo var. texanum",1006
"N","Aceraceae","Acer",4,55,"D","Acer nigrum","black maple","Acer nigrum",1007
"I","Aceraceae","Acer",4,55,"D","Acer platanoides","Norway maple","Acer platanoides",1008
"N","Aceraceae","Acer",4,55,"D","Acer rubrum","red maple","Acer rubrum var. rubrum",1009
"N","Aceraceae","Acer",4,55,"D","Acer saccharinum","silver maple","Acer saccharinum",1010
"N","Aceraceae","Acer",4,55,"D","Acer saccharum","sugar maple","Acer saccharum",1011
"N","Aceraceae","Acer",4,55,"D","Acer spicatum","mountain maple","Acer spicatum",1012
"N","Aceraceae","Acer",4,55,"D","Acer negundo","box elder","Acer negundo",1013
"N","Asteraceae","Achillea",5,616,"H","Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium","common yarrow","Achillea millefolium",1014
"I","Asteraceae","Achillea",5,616,"H","Achillea ptarmica","pearly yarrow","Achillea ptarmica",1015
"N","Asteraceae","Achillea",5,616,"H","Achillea sibirica","Siberian yarrow","Achillea alpina",1016
"N","Poaceae","Achnatherum",14,2002,"G","Oryzopsis hymenoides","Indian rice grass","Achnatherum hymenoides",1017
"N","Fabaceae","Acmispon",21,2003,"H","Lotus purshianus","prairie trefoil","Acmispon americanus var. americanus",1018
"N","Acoraceae","Acorus",6,328,"H","Acorus calamus","sweet flag","Acorus americanus",1019
"N","Ranunculaceae","Actaea",7,329,"H","Actaea rubra","red baneberry","Actaea rubra",1020
"N","Ranunculaceae","Actaea",7,329,"H","Actaea alba","white baneberry","Actaea pachypoda",1021
"N","Pteridaceae","Adiantum",8,203,"H","Adiantum pedatum","northern maidenhair","Adiantum pedatum",1022
"N","Fumariaceae","Adlumia",57,662,"H","Adlumia fungosa","Allegheny vine","Adlumia fungosa",1023
"N","Adoxaceae","Adoxa",143,663,"H","Adoxa moschatellina","moschatel","Adoxa moschatellina",1024
"I","Apiaceae","Aegopodium",9,534,"H","Aegopodium podagraria","goutweed","Aegopodium podagraria",1025
"I","Hippocastanaceae","Aesculus",10,229,"D","Aesculus glabra","Ohio buckeye","Aesculus glabra var. glabra",1026
"I","Apiaceae","Aethusa",9,665,"H","Aethusa cynapium","fool's-parsley","Aethusa cynapium",1027
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis auriculata","eared false foxglove","Agalinis auriculata",1028
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis gattingeri","round-stemmed false foxglove","Agalinis gattingeri",1029
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis purpurea s.l.","purple false foxglove","Agalinis purpurea",1030
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis aspera","rough false foxglove","Agalinis aspera",1031
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis purpurea var. purpurea","purple false foxglove","Agalinis purpurea var. purpurea",1032
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis tenuifolia","slender-leaved false foxglove","Agalinis tenuifolia",1033
"N","Scrophulariaceae","Agalinis",11,106,"H","Agalinis purpurea var. parviflora","purple false foxglove","Agalinis purpurea var. parviflora",1034
"N","Lamiaceae","Agastache",12,332,"H","Agastache foeniculum","blue giant hyssop","Agastache foeniculum",1035
"N","Lamiaceae","Agastache",12,332,"H","Agastache nepetoides","yellow giant hyssop","Agastache nepetoides",1036
"N","Lamiaceae","Agastache",12,332,"H","Agastache scrophulariaefolia","purple giant hyssop","Agastache scrophulariaefolia",1037
"N","Asteraceae","Ageratina",5,628,"H","Eupatorium rugosum var. rugosum","white snakeroot","Ageratina altissima var. altissima",1038
"N","Asteraceae","Agoseris",5,2004,"H","Agoseris glauca var. glauca","glaucous false dandelion","Agoseris glauca var. glauca",1039
"N","Rosaceae","Agrimonia",13,230,"H","Agrimonia gryposepala","common agrimony","Agrimonia gryposepala",1040
"N","Rosaceae","Agrimonia",13,230,"H","Agrimonia striata","roadside agrimony","Agrimonia striata",1041
"N","Rosaceae","Agrimonia",13,230,"H","Agrimonia pubescens","downy agrimony","Agrimonia pubescens",1042
"I","Poaceae","Agropyron",14,231,"G","Agropyron cristatum","crested wheatgrass","Agropyron cristatum",1043
"I","Caryophyllaceae","Agrostemma",26,666,"H","","purple cockle","Agrostemma githago var. githago",1044
"N","Poaceae","Agrostis",14,232,"G","Agrostis hyemalis, Agrostis hyemalis var. hyemalis","winter bentgrass","Agrostis hyemalis",1045
"N","Poaceae","Agrostis",14,232,"G","Agrostis perennans","autumn bentgrass","Agrostis perennans",1046
"N","Poaceae","Agrostis",14,232,"G","Agrostis hyemalis var. scabra","rough bentgrass","Agrostis scabra",1047
"I","Poaceae","Agrostis",14,232,"G","Agrostis stolonifera, Agrostis stolonifera var. palustris, Agrostis stolonifera var. stolonifera","spreading bentgrass","Agrostis stolonifera",1048
"I","Poaceae","Agrostis",14,232,"G","Agrostis gigantea","redtop","Agrostis gigantea",1049
"I","Simaroubaceae","Ailanthus",15,578,"D","","tree of heaven","Ailanthus altissima",1050
"N","Alismataceae","Alisma",17,468,"H,S","Alisma gramineum","narrow-leaved water plantain","Alisma gramineum",1051
"N","Alismataceae","Alisma",17,468,"H","Alisma subcordatum","heart-leaved water plantain","Alisma subcordatum",1052
"N","Alismataceae","Alisma",17,468,"H","Alisma triviale","common water plantain","Alisma triviale",1053
"I","Brassicaceae","Alliaria",18,539,"H","Alliaria petiolata","garlic mustard","Alliaria petiolata",1054
"N","Liliaceae","Allium",16,469,"H","Allium canadense var. canadense","wild garlic","Allium canadense var. canadense",1055
"N","Liliaceae","Allium",16,469,"H","Allium cernuum","nodding wild onion","Allium cernuum",1056
"N","Liliaceae","Allium",16,469,"H","Allium schoenoprasum, Allium schoenoprasum var. sibiricum","wild chives","Allium schoenoprasum",1057
"N","Liliaceae","Allium",16,469,"H","Allium textile","white wild onion","Allium textile",1058
"N","Liliaceae","Allium",16,469,"H","Allium tricoccum s.l.","wild leek","Allium tricoccum",1059
"N","Liliaceae","Allium",16,469,"H","Allium tricoccum var. burdickii","Burdick's leek","Allium tricoccum var. burdickii",1060
"N","Liliaceae","Allium",16,469,"H","Allium tricoccum var. tricoccum","wild leek","Allium tricoccum var. tricoccum",1061
"I","Liliaceae","Allium",16,469,"H","","Chinese chive","Allium tuberosum",1062
"N","Liliaceae","Allium",16,469,"H","Allium stellatum","prairie wild onion","Allium stellatum",1063
"N","Betulaceae","Alnus",19,7,"D","Alnus incana var. americana","speckled alder","Alnus incana subsp. rugosa",1064
"N","Betulaceae","Alnus",19,7,"D","Alnus viridis var. crispa","green alder","Alnus viridis subsp. crispa",1065
"N","Poaceae","Alopecurus",14,672,"G","","short-awn foxtail","Alopecurus aequalis var. aequalis",1066
"I","Poaceae","Alopecurus",14,672,"G","","creeping meadow foxtail","Alopecurus arundinaceus",1067
"N","Poaceae","Alopecurus",14,672,"G","Alopecurus carolinianus","Carolina foxtail","Alopecurus carolinianus",1068
"I","Poaceae","Alopecurus",14,672,"G","Alopecurus pratensis","meadow foxtail","Alopecurus pratensis",1069
"I","Malvaceae","Althaea",2,2005,"H","Althaea officinalis","marshmallow","Althaea officinalis",1070
"I","Brassicaceae","Alyssum",18,674,"H","Alyssum alyssoides","alyssum","Alyssum alyssoides",1071
"I","Brassicaceae","Alyssum",18,674,"H","","desert madwort","Alyssum desertorum",1072
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus blitoides","prostrate pigweed","Amaranthus blitoides",1073
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus hybridus","smooth pigweed","Amaranthus hybridus",1074
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus palmeri","Palmer's amaranth","Amaranthus palmeri",1075
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus powellii","Powell's amaranth","Amaranthus powellii",1076
"I","Amaranthaceae","Amaranthus",20,477,"H","","redroot amaranth","Amaranthus retroflexus var. retroflexus",1077
"N","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus rudis, Amaranthus tuberculatus s.s.","tubercled amaranth","Amaranthus tuberculatus",1078
"N","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus albus","tumbleweed amaranth","Amaranthus albus",1079
"I","Asteraceae","Ambrosia",5,494,"H","Ambrosia acanthicarpa","annual bursage","Ambrosia acanthicarpa",1080
"N","Asteraceae","Ambrosia",5,494,"H","Ambrosia artemisiifolia","common ragweed","Ambrosia artemisiifolia",1081
"N","Asteraceae","Ambrosia",5,494,"H","Ambrosia trifida, Ambrosia trifida var. trifida","great ragweed","Ambrosia trifida",1082
