"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","unknown","E","Abies balsamea","balsam fir","Abies balsamea"
"I","Malvaceae","H","Abutilon theophrasti","velvet leaf","Abutilon theophrasti"
"N","Euphorbiaceae","H","Acalypha rhomboidea","three-seeded mercury","Acalypha rhomboidea"
"I","Aceraceae","D","Acer ginnala","amur maple","Acer ginnala"
"N","Aceraceae","D","Acer negundo","box elder","Acer negundo"
"N","Aceraceae","D","Acer negundo var. negundo","box elder","Acer negundo var. negundo"
"N","Aceraceae","D","Acer negundo var. interius","inland box elder","Acer negundo var. texanum"
"N","Aceraceae","D","Acer nigrum","black maple","Acer nigrum"
"I","Aceraceae","D","Acer platanoides","Norway maple","Acer platanoides"
"N","Aceraceae","D","Acer rubrum","red maple","Acer rubrum var. rubrum"
"N","Aceraceae","D","Acer saccharinum","silver maple","Acer saccharinum"
"N","Aceraceae","D","Acer saccharum","sugar maple","Acer saccharum"
"N","Aceraceae","D","Acer spicatum","mountain maple","Acer spicatum"
"N","Asteraceae","H","Achillea sibirica","Siberian yarrow","Achillea alpina"
"N","Asteraceae","H","Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium","common yarrow","Achillea millefolium"
"I","Asteraceae","H","Achillea ptarmica","pearly yarrow","Achillea ptarmica"
"N","unknown","G","Oryzopsis hymenoides","Indian rice grass","Achnatherum hymenoides"
"N","unknown","H","Lotus purshianus","prairie trefoil","Acmispon americanus var. americanus"
"N","Acoraceae","H","Acorus calamus","sweet flag","Acorus americanus"
"N","Ranunculaceae","H","Actaea alba","white baneberry","Actaea pachypoda"
"N","Ranunculaceae","H","Actaea rubra","red baneberry","Actaea rubra"
"N","Pteridaceae","H","Adiantum pedatum","northern maidenhair","Adiantum pedatum"
"N","Fumariaceae","H","Adlumia fungosa","Allegheny vine","Adlumia fungosa"
"N","Adoxaceae","H","Adoxa moschatellina","moschatel","Adoxa moschatellina"
"I","Apiaceae","H","Aegopodium podagraria","goutweed","Aegopodium podagraria"
