"native","physiognomy","nameDNR","commonName","emergingTaxonomy","synonymGC","genus"
"N","E","Abies balsamea","balsam fir","","Abies balsamea","Abies"
"I","H","Abutilon theophrasti","velvet leaf","","Abutilon theophrasti","Abutilon"
"N","H","Acalypha rhomboidea","three-seeded mercury","","Acalypha rhomboidea","Acalypha"
"I","D","Acer ginnala","amur maple","","Acer ginnala","Acer"
"N","D","Acer negundo","box elder","","Acer negundo","Acer"
"N","D","Acer negundo var. negundo","box elder","","Acer negundo var. negundo","Acer"
"N","D","Acer negundo var. texanum","inland box elder","","Acer negundo var. interius","Acer"
"N","D","Acer nigrum","black maple","","Acer nigrum","Acer"
"I","D","Acer platanoides","Norway maple","","Acer platanoides","Acer"
"N","D","Acer rubrum var. rubrum","red maple","","Acer rubrum","Acer"
"N","D","Acer saccharinum","silver maple","","Acer saccharinum","Acer"
"N","D","Acer saccharum","sugar maple","","Acer saccharum","Acer"
"N","D","Acer spicatum","mountain maple","","Acer spicatum","Acer"
"N","H","Achillea alpina","Siberian yarrow","","Achillea sibirica","Achillea"
"N","H","Achillea millefolium","common yarrow","","Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium","Achillea"
"I","H","Achillea ptarmica","pearly yarrow","","Achillea ptarmica","Achillea"
"N","G","Achnatherum hymenoides","Indian rice grass","","Oryzopsis hymenoides","Achnatherum"
"N","H","Acmispon americanus var. americanus","prairie trefoil","","Lotus purshianus","Acmispon"
"N","H","Acorus americanus","sweet flag","","Acorus calamus","Acorus"
"N","H","Actaea pachypoda","white baneberry","","Actaea alba","Actaea"
"N","H","Actaea rubra","red baneberry","","Actaea rubra","Actaea"
"N","H","Adiantum pedatum","northern maidenhair","","Adiantum pedatum","Adiantum"
"N","H","Adlumia fungosa","Allegheny vine","","Adlumia fungosa","Adlumia"
"N","H","Adoxa moschatellina","moschatel","","Adoxa moschatellina","Adoxa"
"I","H","Aegopodium podagraria","goutweed","","Aegopodium podagraria","Aegopodium"
"I","D","Aesculus glabra var. glabra","Ohio buckeye","","Aesculus glabra","Aesculus"
"I","H","Aethusa cynapium","fool's-parsley","","Aethusa cynapium","Aethusa"
"N","H","Agalinis aspera","rough false foxglove","","Agalinis aspera","Agalinis"
"N","H","Agalinis auriculata","eared false foxglove","","Agalinis auriculata","Agalinis"
"N","H","Agalinis gattingeri","round-stemmed false foxglove","","Agalinis gattingeri","Agalinis"
"N","H","Agalinis purpurea","purple false foxglove","","Agalinis purpurea s.l.","Agalinis"
"N","H","Agalinis purpurea var. parviflora","purple false foxglove","","Agalinis purpurea var. parviflora","Agalinis"
"N","H","Agalinis purpurea var. purpurea","purple false foxglove","","Agalinis purpurea var. purpurea","Agalinis"
"N","H","Agalinis tenuifolia","slender-leaved false foxglove","","Agalinis tenuifolia","Agalinis"
"N","H","Agastache foeniculum","blue giant hyssop","","Agastache foeniculum","Agastache"
"N","H","Agastache nepetoides","yellow giant hyssop","","Agastache nepetoides","Agastache"
"N","H","Agastache scrophulariaefolia","purple giant hyssop","","Agastache scrophulariaefolia","Agastache"
"N","H","Ageratina altissima var. altissima","white snakeroot","","Eupatorium rugosum var. rugosum","Ageratina"
"N","H","Agoseris glauca var. glauca","glaucous false dandelion","","Agoseris glauca var. glauca","Agoseris"
"N","H","Agrimonia gryposepala","common agrimony","","Agrimonia gryposepala","Agrimonia"
"N","H","Agrimonia pubescens","downy agrimony","","Agrimonia pubescens","Agrimonia"
"N","H","Agrimonia striata","roadside agrimony","","Agrimonia striata","Agrimonia"
"I","G","Agropyron cristatum","crested wheatgrass","","Agropyron cristatum","Agropyron"
"I","H","Agrostemma githago var. githago","purple cockle","","","Agrostemma"
"I","G","Agrostis gigantea","redtop","","Agrostis gigantea","Agrostis"
"N","G","Agrostis hyemalis","winter bentgrass","","Agrostis hyemalis, Agrostis hyemalis var. hyemalis","Agrostis"
"N","G","Agrostis perennans","autumn bentgrass","","Agrostis perennans","Agrostis"
"N","G","Agrostis scabra","rough bentgrass","","Agrostis hyemalis var. scabra","Agrostis"
"I","G","Agrostis stolonifera","spreading bentgrass","","Agrostis stolonifera, Agrostis stolonifera var. palustris, Agrostis stolonifera var. stolonifera","Agrostis"
"I","D","Ailanthus altissima","tree of heaven","","","Ailanthus"
"N","H,S","Alisma gramineum","narrow-leaved water plantain","","Alisma gramineum","Alisma"
"N","H","Alisma subcordatum","heart-leaved water plantain","","Alisma subcordatum","Alisma"
"N","H","Alisma triviale","common water plantain","","Alisma triviale","Alisma"
"I","H","Alliaria petiolata","garlic mustard","","Alliaria petiolata","Alliaria"
"N","H","Allium canadense var. canadense","wild garlic","","Allium canadense var. canadense","Allium"
"N","H","Allium cernuum","nodding wild onion","","Allium cernuum","Allium"
"N","H","Allium schoenoprasum","wild chives","","Allium schoenoprasum, Allium schoenoprasum var. sibiricum","Allium"
"N","H","Allium stellatum","prairie wild onion","","Allium stellatum","Allium"
"N","H","Allium textile","white wild onion","","Allium textile","Allium"
"N","H","Allium tricoccum","wild leek","","Allium tricoccum s.l.","Allium"
"N","H","Allium tricoccum var. burdickii","Burdick's leek","","Allium tricoccum var. burdickii","Allium"
"N","H","Allium tricoccum var. tricoccum","wild leek","","Allium tricoccum var. tricoccum","Allium"
"I","H","Allium tuberosum","Chinese chive","","","Allium"
"N","D","Alnus incana subsp. rugosa","speckled alder","","Alnus incana var. americana","Alnus"
"N","D","Alnus viridis subsp. crispa","green alder","","Alnus viridis var. crispa","Alnus"
"N","G","Alopecurus aequalis var. aequalis","short-awn foxtail","","","Alopecurus"
"I","G","Alopecurus arundinaceus","creeping meadow foxtail","","","Alopecurus"
"N","G","Alopecurus carolinianus","Carolina foxtail","","Alopecurus carolinianus","Alopecurus"
"I","G","Alopecurus pratensis","meadow foxtail","","Alopecurus pratensis","Alopecurus"
"I","H","Althaea officinalis","marshmallow","","Althaea officinalis","Althaea"
"I","H","Alyssum alyssoides","alyssum","","Alyssum alyssoides","Alyssum"
"I","H","Alyssum desertorum","desert madwort","","","Alyssum"
"N","H","Amaranthus albus","tumbleweed amaranth","","Amaranthus albus","Amaranthus"
"I","H","Amaranthus blitoides","prostrate pigweed","","Amaranthus blitoides","Amaranthus"
"I","H","Amaranthus hybridus","smooth pigweed","","Amaranthus hybridus","Amaranthus"
"I","H","Amaranthus palmeri","Palmer's amaranth","","Amaranthus palmeri","Amaranthus"
"I","H","Amaranthus powellii","Powell's amaranth","","Amaranthus powellii","Amaranthus"
"I","H","Amaranthus retroflexus var. retroflexus","redroot amaranth","","","Amaranthus"
"N","H","Amaranthus tuberculatus","tubercled amaranth","","Amaranthus rudis, Amaranthus tuberculatus s.s.","Amaranthus"
"I","H","Ambrosia acanthicarpa","annual bursage","","Ambrosia acanthicarpa","Ambrosia"
"N","H","Ambrosia artemisiifolia","common ragweed","","Ambrosia artemisiifolia","Ambrosia"
"N","H","Ambrosia psilostachya","western ragweed","","Ambrosia psilostachya","Ambrosia"
"N","H","Ambrosia trifida","great ragweed","","Ambrosia trifida, Ambrosia trifida var. trifida","Ambrosia"
"N","D","Amelanchier alnifolia","saskatoon juneberry","","Amelanchier alnifolia","Amelanchier"
"N","D","Amelanchier arborea","downy serviceberry","","Amelanchier arborea","Amelanchier"
"N","D","Amelanchier bartramiana","northern juneberry","","Amelanchier bartramiana","Amelanchier"
"N","D","Amelanchier humilis","low juneberry","","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","Amelanchier"
"N","D","Amelanchier interior","inland juneberry","","Amelanchier interior s.s., Amelanchier xwiegandii","Amelanchier"
"N","D","Amelanchier intermedia","intermediate juneberry","","Amelanchier xintermedia","Amelanchier"
"N","D","Amelanchier laevis","smooth juneberry","","Amelanchier laevis","Amelanchier"
