"genus_id","genus","family_id","family"
NA,"Abies",NA,"unknown"
NA,"Achnatherum",NA,"unknown"
NA,"Acmispon",NA,"unknown"
NA,"Agoseris",NA,"unknown"
NA,"Althaea",NA,"unknown"
NA,"Amerorchis",NA,"unknown"
NA,"Arceuthobium",NA,"unknown"
NA,"Arnica",NA,"unknown"
NA,"Avenula",NA,"unknown"
NA,"Axyris",NA,"unknown"
NA,"Bistorta",NA,"unknown"
NA,"Calypso",NA,"unknown"
NA,"Canadanthus",NA,"unknown"
NA,"Chamaenerion",NA,"unknown"
NA,"Chamaerhodos",NA,"unknown"
NA,"Claytosmunda",NA,"unknown"
NA,"Coryphantha",NA,"unknown"
NA,"Cota",NA,"unknown"
NA,"Crassula",NA,"unknown"
NA,"Cymopterus",NA,"unknown"
NA,"Digitalis",NA,"unknown"
NA,"Empetrum",NA,"unknown"
NA,"Eriocaulon",NA,"unknown"
NA,"Fallopia",NA,"unknown"
NA,"Geocaulon",NA,"unknown"
NA,"Homalosorus",NA,"unknown"
NA,"Kalmia",NA,"unknown"
NA,"Kochia",NA,"unknown"
NA,"Leucanthemella",NA,"unknown"
NA,"Leucophysalis",NA,"unknown"
NA,"Levisticum",NA,"unknown"
NA,"Limosella",NA,"unknown"
NA,"Listera",NA,"unknown"
NA,"Littorella",NA,"unknown"
NA,"Logfia",NA,"unknown"
NA,"Lomatium",NA,"unknown"
NA,"Lygodesmia",NA,"unknown"
NA,"Madia",NA,"unknown"
NA,"Moneses",NA,"unknown"
NA,"Montia",NA,"unknown"
NA,"Mulgedium",NA,"unknown"
NA,"Myrica",NA,"unknown"
NA,"Nemopanthus",NA,"unknown"
NA,"Odontites",NA,"unknown"
NA,"Orthocarpus",NA,"unknown"
NA,"Oxytropis",NA,"unknown"
NA,"Peritoma",NA,"unknown"
NA,"Pimpinella",NA,"unknown"
NA,"Pinguicula",NA,"unknown"
NA,"Polygaloides",NA,"unknown"
NA,"Prosartes",NA,"unknown"
NA,"Rhodiola",NA,"unknown"
NA,"Scolochloa",NA,"unknown"
NA,"Shinnersoseris",NA,"unknown"
NA,"Sorbaria",NA,"unknown"
NA,"Spinulum",NA,"unknown"
NA,"Streptopus",NA,"unknown"
NA,"Subularia",NA,"unknown"
NA,"Tephroseris",NA,"unknown"
NA,"Trisetum",NA,"unknown"
NA,"Tsuga",NA,"unknown"
NA,"Xanthisma",NA,"unknown"
NA,"xElyhordeum",NA,"unknown"
