"genus_id","genus","family_id","family"
"659","Abelmoschus","2","Malvaceae"
"590","Abutilon","2","Malvaceae"
"318","Acalypha","3","Euphorbiaceae"
"55","Acer","4","Aceraceae"
"616","Achillea","5","Asteraceae"
"1095","Achyranthes","20","Amaranthaceae"
"1128","Acmella","5","Asteraceae"
"660","Aconitum","7","Ranunculaceae"
"328","Acorus","6","Acoraceae"
"661","Acroptilon","5","Asteraceae"
"329","Actaea","7","Ranunculaceae"
"331","Actinomeris","5","Asteraceae"
"203","Adiantum","8","Pteridaceae"
"662","Adlumia","57","Fumariaceae"
"663","Adoxa","143","Adoxaceae"
"664","Aegilops","14","Poaceae"
"534","Aegopodium","9","Apiaceae"
"229","Aesculus","10","Hippocastanaceae"
"665","Aethusa","9","Apiaceae"
"106","Agalinis","11","Scrophulariaceae"
"332","Agastache","12","Lamiaceae"
"628","Ageratina","5","Asteraceae"
"230","Agrimonia","13","Rosaceae"
"231","Agropyron","14","Poaceae"
"666","Agrostemma","26","Caryophyllaceae"
"232","Agrostis","14","Poaceae"
"578","Ailanthus","15","Simaroubaceae"
"667","Aira","14","Poaceae"
"668","Ajuga","12","Lamiaceae"
"669","Akebia","157","Lardizabalaceae"
"670","Albizia","21","Fabaceae"
"671","Alcea","2","Malvaceae"
"607","Aletris","16","Liliaceae"
"468","Alisma","17","Alismataceae"
"539","Alliaria","18","Brassicaceae"
"469","Allium","16","Liliaceae"
"7","Alnus","19","Betulaceae"
"672","Alopecurus","14","Poaceae"
"673","Alternanthera","20","Amaranthaceae"
"674","Alyssum","18","Brassicaceae"
"477","Amaranthus","20","Amaranthaceae"
"675","Amberboa","5","Asteraceae"
"494","Ambrosia","5","Asteraceae"
"6","Amelanchier","13","Rosaceae"
"676","Ammannia","61","Lythraceae"
"204","Ammophila","14","Poaceae"
"241","Amorpha","21","Fabaceae"
"677","Ampelopsis","106","Vitaceae"
"678","Amphiachyris","5","Asteraceae"
"245","Amphicarpaea","21","Fabaceae"
"679","Amsinckia","60","Boraginaceae"
"680","Amsonia","24","Apocynaceae"
"681","Anagallis","66","Primulaceae"
"682","Anaphalis","5","Asteraceae"
"683","Anchusa","60","Boraginaceae"
"513","Andromeda","22","Ericaceae"
"1132","Andropogen","14","Poaceae"
"250","Andropogon","14","Poaceae"
"684","Androsace","66","Primulaceae"
"362","Anemone","7","Ranunculaceae"
"363","Anemonella","7","Ranunculaceae"
"685","Anethum","9","Apiaceae"
"364","Angelica","9","Apiaceae"
"686","Anoda","2","Malvaceae"
"365","Antennaria","5","Asteraceae"
"403","Antenoron","116","Polygonaceae"
"687","Anthemis","5","Asteraceae"
"251","Anthoxanthum","14","Poaceae"
"688","Anthriscus","9","Apiaceae"
"689","Anthyllis","21","Fabaceae"
"1138","Anticlea","186","Melanthiaceae"
"690","Antirrhinum","11","Scrophulariaceae"
"691","Apera","14","Poaceae"
"1115","Aphyllon","55","Orobanchaceae"
"297","Apios","21","Fabaceae"
"692","Apium","9","Apiaceae"
"573","Aplectrum","23","Orchidaceae"
"243","Apocynum","24","Apocynaceae"
"423","Aquilegia","7","Ranunculaceae"
