Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,E,Abies balsamea,balsam fir,,Abies balsamea,doug,"","",""
I,D,Acer ginnala,amur maple,,Acer ginnala,"","",pope,""
N,D,Acer negundo,box elder,,Acer negundo,doug,gran,pope,stev
N,D,Acer rubrum var. rubrum,red maple,,Acer rubrum,doug,"",pope,""
N,D,Acer saccharinum,silver maple,,Acer saccharinum,doug,"",pope,""
N,D,Acer saccharum,sugar maple,,Acer saccharum,doug,"",pope,""
N,H,Achillea millefolium,common yarrow,,"Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium",doug,gran,pope,""
N,H,Acmispon americanus var. americanus,prairie trefoil,,Lotus purshianus,"","","",stev
N,H,Acorus americanus,sweet flag,,Acorus calamus,doug,gran,pope,""
N,H,Actaea rubra,red baneberry,,Actaea rubra,doug,gran,pope,stev
N,H,Agalinis aspera,rough false foxglove,,Agalinis aspera,doug,"",pope,stev
N,H,Agalinis purpurea,purple false foxglove,,Agalinis purpurea s.l.,doug,"",pope,""
N,H,Agalinis purpurea var. parviflora,purple false foxglove,,Agalinis purpurea var. parviflora,doug,"",pope,""
N,H,Agalinis tenuifolia,slender-leaved false foxglove,,Agalinis tenuifolia,doug,"",pope,stev
N,H,Agastache foeniculum,blue giant hyssop,,Agastache foeniculum,doug,gran,pope,""
N,H,Agastache scrophulariaefolia,purple giant hyssop,,Agastache scrophulariaefolia,"","",pope,""
N,H,Ageratina altissima var. altissima,white snakeroot,,Eupatorium rugosum var. rugosum,doug,"",pope,""
N,H,Agoseris glauca var. glauca,glaucous false dandelion,,Agoseris glauca var. glauca,doug,"",pope,stev
N,H,Agrimonia pubescens,downy agrimony,,Agrimonia pubescens,"","",pope,""
N,H,Agrimonia striata,roadside agrimony,,Agrimonia striata,"",gran,pope,""
I,G,Agrostis gigantea,redtop,,Agrostis gigantea,doug,gran,pope,""
N,G,Agrostis perennans,autumn bentgrass,,Agrostis perennans,doug,"","",""
N,G,Agrostis scabra,rough bentgrass,,Agrostis hyemalis var. scabra,doug,"",pope,""
I,G,Agrostis stolonifera,spreading bentgrass,,"Agrostis stolonifera, Agrostis stolonifera var. palustris, Agrostis stolonifera var. stolonifera","","",pope,""
N,"H,S",Alisma gramineum,narrow-leaved water plantain,,Alisma gramineum,doug,"",pope,stev
N,H,Alisma subcordatum,heart-leaved water plantain,,Alisma subcordatum,"","","",stev
N,H,Alisma triviale,common water plantain,,Alisma triviale,doug,"",pope,""
N,H,Allium stellatum,prairie wild onion,,Allium stellatum,doug,gran,pope,stev
N,H,Allium textile,white wild onion,,Allium textile,doug,"","",stev
N,H,Allium tricoccum,wild leek,,Allium tricoccum s.l.,doug,gran,pope,""
N,H,Allium tricoccum var. tricoccum,wild leek,,Allium tricoccum var. tricoccum,doug,gran,pope,""
N,D,Alnus incana subsp. rugosa,speckled alder,,Alnus incana var. americana,doug,"","",""
N,G,Alopecurus aequalis var. aequalis,short-awn foxtail,,,doug,gran,"",""
N,H,Amaranthus albus,tumbleweed amaranth,,Amaranthus albus,"","","",stev
I,H,Amaranthus blitoides,prostrate pigweed,,Amaranthus blitoides,doug,"",pope,stev
I,H,Amaranthus hybridus,smooth pigweed,,Amaranthus hybridus,"",gran,"",""
I,H,Amaranthus retroflexus var. retroflexus,redroot amaranth,,,"","","",stev
N,H,Ambrosia artemisiifolia,common ragweed,,Ambrosia artemisiifolia,doug,gran,pope,stev
N,H,Ambrosia psilostachya,western ragweed,,Ambrosia psilostachya,"","",pope,""
N,H,Ambrosia trifida,great ragweed,,"Ambrosia trifida, Ambrosia trifida var. trifida","","",pope,stev
N,D,Amelanchier alnifolia,saskatoon juneberry,,Amelanchier alnifolia,"","",pope,""
N,D,Amelanchier humilis,low juneberry,,"Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","","",pope,""
N,D,Amelanchier sanguinea,round-leaved juneberry,,"Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea",doug,"","",""
N,D,Amorpha canescens,leadplant,,Amorpha canescens,doug,gran,pope,stev
N,D,Amorpha fruticosa,false indigo,,Amorpha fruticosa,doug,"",pope,""
N,D,Amorpha nana,fragrant false indigo,,Amorpha nana,doug,gran,pope,""
N,H,Amphicarpaea bracteata,hog peanut,,Amphicarpaea bracteata,doug,gran,pope,stev
N,B,Andromeda polifolia var. latifolia,bog rosemary,,,doug,"","",""
N,G,Andropogon gerardii,big bluestem,,Andropogon gerardii,doug,gran,pope,stev
N,H,Androsace occidentalis,western androsace,,Androsace occidentalis,"","","",stev
N,H,Anemone acutiloba,sharp-lobed hepatica,,Hepatica acutiloba,doug,"","",""
N,H,Anemone americana,round-lobed hepatica,,Hepatica americana,doug,"","",""
N,H,Anemone canadensis,canada anemone,,Anemone canadensis,doug,gran,pope,stev
N,H,Anemone caroliniana,Carolina thimbleweed,,Anemone caroliniana,"",gran,"",stev
N,H,Anemone cylindrica,long-headed thimbleweed,,Anemone cylindrica,doug,gran,pope,stev
N,H,Anemone patens var. multifida,pasqueflower,,Anemone patens var. multifida,doug,gran,pope,stev
